,property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
0,0.0,99.0,4.0,5.0,4.0,3.0,2547.0,0.0,0.0,1.0,1.0,2.0,2.2
1,0.0,79.0,2.0,2.0,3.0,3.0,1130.0,0.0,0.0,0.0,1.0,1.0,1.08
2,0.0,113.0,2.0,2.0,2.0,3.0,1046.0,0.0,0.0,1.0,0.0,2.0,0.99
3,1.0,47.0,10.0,10.0,4.0,3.0,3123.0,0.0,0.0,1.0,0.0,1.0,8.0
4,0.0,17.0,4.0,5.0,4.0,3.0,2650.0,1.0,0.0,0.0,2.0,0.0,3.7
5,1.0,7.0,4.0,5.0,0.0,3.0,4700.0,0.0,0.0,1.0,1.0,0.0,3.15
6,1.0,55.0,8.0,6.0,4.0,0.0,3240.0,1.0,0.0,0.0,0.0,2.0,8.81
7,0.0,1.0,5.0,6.0,4.0,3.0,9058.0,1.0,0.0,1.0,0.0,0.0,7.5
8,0.0,94.0,4.0,5.0,2.0,3.0,3019.0,1.0,0.0,0.0,1.0,2.0,2.91
9,0.0,82.0,3.0,3.0,3.0,1.0,1766.0,1.0,1.0,1.0,0.0,2.0,1.9
10,1.0,50.0,3.0,3.0,2.0,0.0,900.0,0.0,0.0,0.0,0.0,2.0,2.1
11,1.0,36.0,3.0,1.0,0.0,2.0,1008.0,0.0,0.0,1.0,0.0,1.0,0.9
12,0.0,78.0,3.0,3.0,3.0,1.0,1585.0,0.0,0.0,1.0,0.0,0.0,2.0
13,0.0,107.0,4.0,4.0,4.0,3.0,1734.0,0.0,0.0,1.0,1.0,2.0,0.75
14,0.0,103.0,3.0,2.0,3.0,1.0,1550.0,0.0,0.0,1.0,0.0,2.0,1.1
15,0.0,78.0,3.0,3.0,3.0,1.0,1552.0,1.0,1.0,0.0,2.0,2.0,1.8
16,0.0,99.0,2.0,2.0,3.0,1.0,1200.0,1.0,1.0,0.0,2.0,2.0,1.08
17,0.0,0.0,3.0,3.0,2.0,4.0,1268.0,0.0,0.0,1.0,0.0,2.0,1.3
18,0.0,19.0,3.0,3.0,2.0,4.0,1430.0,0.0,0.0,1.0,1.0,2.0,1.93
19,0.0,99.0,3.0,3.0,3.0,3.0,1587.0,0.0,0.0,1.0,0.0,2.0,0.93
20,0.0,77.0,3.0,3.0,3.0,3.0,2048.0,0.0,1.0,2.0,2.0,1.0,2.8
21,0.0,43.0,2.0,2.0,2.0,3.0,1479.0,0.0,0.0,1.0,1.0,0.0,2.3
22,1.0,59.0,4.0,4.0,2.0,0.0,4500.0,1.0,0.0,1.0,2.0,1.0,15.0
23,0.0,19.0,3.0,4.0,4.0,3.0,1940.0,1.0,0.0,1.0,0.0,2.0,2.4
24,1.0,92.0,1.0,1.0,1.0,0.0,556.0,0.0,0.0,1.0,0.0,2.0,0.45
25,0.0,98.0,3.0,3.0,3.0,1.0,1850.0,1.0,0.0,1.0,1.0,1.0,1.5
26,0.0,100.0,3.0,4.0,4.0,3.0,1748.0,1.0,0.0,1.0,1.0,1.0,1.25
27,0.0,70.0,2.0,3.0,2.0,3.0,1520.0,0.0,1.0,0.0,2.0,1.0,2.05
28,1.0,76.0,5.0,6.0,4.0,1.0,3240.0,1.0,1.0,0.0,2.0,1.0,11.0
29,1.0,52.0,3.0,9.0,4.0,0.0,1935.0,1.0,0.0,0.0,1.0,2.0,5.3
30,1.0,20.0,1.0,1.0,1.0,2.0,1800.0,1.0,0.0,1.0,0.0,1.0,1.7
31,0.0,46.0,4.0,4.0,3.0,3.0,2091.0,0.0,0.0,0.0,1.0,0.0,1.67
32,1.0,81.0,3.0,1.0,1.0,3.0,550.0,0.0,0.0,1.0,0.0,2.0,0.66
33,0.0,10.0,4.0,6.0,4.0,3.0,1535.0,1.0,0.0,1.0,2.0,0.0,1.5
34,0.0,68.0,3.0,3.0,3.0,4.0,2550.0,0.0,0.0,1.0,0.0,2.0,3.78
35,0.0,97.0,3.0,3.0,3.0,0.0,1469.0,0.0,0.0,0.0,1.0,2.0,1.05
36,0.0,100.0,2.0,2.0,1.0,1.0,1300.0,0.0,0.0,1.0,0.0,0.0,0.82
37,0.0,85.0,3.0,3.0,3.0,0.0,1789.0,1.0,0.0,0.0,0.0,2.0,1.9
38,0.0,75.0,2.0,2.0,2.0,1.0,1187.0,0.0,0.0,1.0,1.0,0.0,2.1
39,0.0,75.0,4.0,4.0,3.0,3.0,1975.0,1.0,0.0,0.0,1.0,2.0,2.75
40,0.0,7.0,2.0,2.0,0.0,3.0,750.0,0.0,0.0,1.0,0.0,2.0,0.5
41,0.0,94.0,2.0,2.0,1.0,3.0,613.0,0.0,0.0,0.0,1.0,2.0,0.48
42,0.0,12.0,4.0,5.0,4.0,3.0,2517.0,0.0,0.0,1.0,1.0,2.0,2.28
43,0.0,107.0,3.0,2.0,2.0,3.0,1132.0,0.0,0.0,1.0,1.0,1.0,0.51
44,0.0,90.0,3.0,2.0,2.0,0.0,1472.0,0.0,0.0,1.0,1.0,2.0,0.8
45,1.0,78.0,4.0,4.0,2.0,1.0,2700.0,0.0,0.0,0.0,1.0,2.0,1.83
46,0.0,68.0,3.0,4.0,3.0,4.0,2079.0,0.0,0.0,1.0,0.0,2.0,4.25
47,1.0,73.0,4.0,4.0,4.0,1.0,3950.0,0.0,0.0,1.0,1.0,0.0,8.5
48,0.0,70.0,2.0,3.0,2.0,3.0,1404.0,0.0,0.0,1.0,1.0,2.0,2.5
49,1.0,26.0,4.0,4.0,2.0,2.0,4518.0,1.0,0.0,0.0,0.0,1.0,8.5
50,0.0,94.0,2.0,2.0,3.0,3.0,700.0,0.0,0.0,1.0,1.0,2.0,0.49
