property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
flat,sector 85,2.2,4.0,5.0,3+,Relatively New,2547.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 68,1.08,2.0,2.0,3,Relatively New,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Low Floor
flat,sohna road,0.99,2.0,2.0,2,Relatively New,1046.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 38,8.0,10.0,10.0,3+,Relatively New,3123.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 111,3.7,4.0,5.0,3+,Relatively New,2650.0,0.0,1.0,0.0,0.0,0.0,0.0,high,High Floor
house,sector 103,3.15,4.0,5.0,0,Relatively New,4700.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
house,sector 47,8.81,8.0,6.0,3+,Moderately Old,3240.0,1.0,1.0,0.0,0.0,1.0,0.0,Low,Mid Floor
flat,gwal pahari,7.5,5.0,6.0,3+,Relatively New,9058.0,0.0,1.0,0.0,1.0,1.0,1.0,Low,High Floor
flat,sector 81,2.91,4.0,5.0,2,Relatively New,3019.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 70,1.9,3.0,3.0,3,New Property,1766.0,0.0,1.0,1.0,1.0,1.0,1.0,Low,Mid Floor
house,sector 40,2.1,3.0,3.0,2,Moderately Old,900.0,0.0,0.0,0.0,0.0,1.0,0.0,Low,Mid Floor
house,sector 3,0.9,3.0,1.0,0,Old Property,1008.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 67a,2.0,3.0,3.0,3,New Property,1585.0,1.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 92,0.75,4.0,4.0,3+,Relatively New,1734.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 89,1.1,3.0,2.0,3,New Property,1550.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 67a,1.8,3.0,3.0,3,New Property,1552.0,0.0,1.0,1.0,0.0,0.0,0.0,high,Mid Floor
flat,sector 85,1.08,2.0,2.0,3,New Property,1200.0,1.0,1.0,1.0,1.0,0.0,0.0,high,Mid Floor
flat,dwarka expressway,1.3,3.0,3.0,2,Under Construction,1268.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 113,1.93,3.0,3.0,2,Under Construction,1430.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 85,0.93,3.0,3.0,3,Relatively New,1587.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 67,2.8,3.0,3.0,3,Relatively New,2048.0,0.0,0.0,1.0,0.0,0.0,2.0,high,Low Floor
flat,sector 36a,2.3,2.0,2.0,2,Relatively New,1479.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
house,sector 50,15.0,4.0,4.0,2,Moderately Old,4500.0,0.0,1.0,0.0,0.0,0.0,1.0,high,Low Floor
flat,sector 113,2.4,3.0,4.0,3+,Relatively New,1940.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 8,0.45,1.0,1.0,1,Moderately Old,556.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 84,1.5,3.0,3.0,3,New Property,1850.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 86,1.25,3.0,4.0,3+,Relatively New,1748.0,0.0,1.0,0.0,1.0,0.0,1.0,Medium,Low Floor
flat,sector 60,2.05,2.0,3.0,2,Relatively New,1520.0,0.0,0.0,1.0,0.0,0.0,0.0,high,Low Floor
house,sector 66,11.0,5.0,6.0,3+,New Property,3240.0,1.0,1.0,1.0,1.0,0.0,0.0,high,Low Floor
house,sector 43,5.3,3.0,9.0,3+,Moderately Old,1935.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 12,1.7,1.0,1.0,1,Old Property,1800.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 37d,1.67,4.0,4.0,3,Relatively New,2091.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,High Floor
house,sector 7,0.66,3.0,1.0,1,Relatively New,550.0,0.0,0.0,0.0,0.0,1.0,1.0,Low,Mid Floor
flat,sector 106,1.5,4.0,6.0,3+,Relatively New,1535.0,0.0,1.0,0.0,0.0,0.0,1.0,high,High Floor
flat,sector 59,3.78,3.0,3.0,3,Under Construction,2550.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
