property_name,link,society,price,areaWithType,address,floorNumAllowed,noOfOpenSides,possession,nearbyLocations,description,features,rating,property_id
Residential land / Plot in Sector-33 Sohna,https://www.99acres.com/residential-land-plot-for-sale-in-central-park-flower-valley-mikasa-plots-sector-33-sohna-gurgaon-250-sq-yard-spid-U69990808,Central Park Flower Valley Mikasa Plots,3.75 Crore,(209 sq.m.) Plot Area,"Sector-33 Sohna, Gurgaon, Haryana",,1,,"['Rapid Metro Sector 55-56', 'CBR Cricket Ground', 'Gurugram Public School', 'Swastik Multispeciality Hospital', 'IGI Airport', 'Lemon Tree Hotel', 'SCC Drive-In Cinema']",East facing 24 meter road plot. Very good location . Ready for construction.,"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",,U69990808
Residential land / Plot in Sector 93 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-rof-insignia-park-sector-93-gurgaon-20-sq-yard-spid-A69982942,ROF Insignia Park,2.23 Crore,(17 sq.m.) Plot Area,"Sector 93, Sector 93 Gurgaon, Gurgaon, Haryana",,1,undefined,"['Newtown Square Mall', 'Dwarka Expy', 'Yaduvanshi Shiksha Niketan Sector- 92', 'Royal Institute Of Science and Mgt', 'Aarvy Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Eros Corporate Park', 'Holiday Inn Gurugram Sector 90', 'Manesar Golf Course', 'Nakhrola Stadium']",At the maine enterance rof insignia park sector 93,,,A69982942
Residential land / Plot in Sector 63 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-adani-brahma-samsara-vilasa-sector-63-gurgaon-342-sq-yard-r2-spid-E67430192,Adani Brahma Samsara Vilasa,8.75 Crore,(286 sq.m.) Plot Area,"Sector 63 Gurgaon, Gurgaon, Haryana",,2,,"['Rapid Metro Station Sector 56', 'Paras Trinity Mall Sector 63', 'Golf Course Ext Rd', 'Mehrauli-Gurgaon Road', 'Nirvana Rd', 'Heritage Xperiential Learning School', 'KIIT College of Engineering Sohna Road', 'CK Birla Hospital', 'Indira Gandhi International Airport', 'AIPL Business Club Sector 62', 'DoubleTree by Hilton Hotel Gurgaon', 'De Adventure Park', 'TERI Golf Course']",Park facing plot and open green garden on backside also. J block. North facing.,"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",,E67430192
Residential land / Plot in Sector 22 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-22-gurgaon-50-sq-yard-r2-spid-B69214852,,90 Lac,(42 sq.m.) Plot Area,"Sector 22 Gurgaon, Gurgaon, Haryana",,2,Immediate,"['HUDA Sector 23 Market', 'Palam triangle', 'Ram Mandir', 'Jain Bhawan', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Metro Hospital and Heart Institute Gurgaon', 'DGD', 'Thukral Hospital', 'Neelkanth Medico', 'SP Infocity', 'DLF Cyber City Phase II', 'HUDA sector 23 parking', 'Oriental bank of commerce', 'Punjab national bank', 'Icici bank', 'Axis bank', 'Big Cinemas', 'Om Sweets', 'Pind Baluchi', 'Moti Mahal', ""Domino's Pizza"", 'Pizza Hut', 'Cafe Coffee Day', 'Cantine', ""McDonald's"", 'Mukesh Dhaba', ""McDonald's"", 'THE NORTHCAP UNIVERSITY', 'Swiss Cottage school', 'Masti ki Pathshala Teach India', 'Chiranjiv Bharati School', 'American Montessori']","Huda plot 61 sq. Yards, in sector 22b very unique loaction .",,"['Environment4 out of 5', 'Safety5 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",B69214852
Residential land / Plot in Block K1 New Palam Vihar Phase 1,https://www.99acres.com/residential-land-plot-for-sale-in-block-k1-new-palam-vihar-phase-1-gurgaon-200-sq-yard-spid-U69962464,,1.2 Crore,(167 sq.m.) Plot Area,"Block K1 New Palam Vihar Phase 1, Gurgaon, Haryana",4 Floors,2,Immediate,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'HUDA Sector 23 Market', 'Ram Mandir', 'Kalyan Hospital Gurgaon', 'Chirag Hospital Pvt. Ltd', 'R K Hospital Gurgaon', 'Metro Hospital and Heart Institute Gurgaon', 'Bhardwaj Hospital', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Jiya Clinic', 'Dr. Mittal Clinic', ""Dr. Anurag's Child Care Clinic"", 'Dr. Hitesh Dawar', 'Yashroop Medical Centre', 'Sneh Hospital Gurgaon', 'Axis bank', 'Big Cinemas', ""McDonald's"", 'Cafe Coffee Day', 'Moti Mahal', 'Pizza Hut', 'Pind Baluchi', ""Domino's Pizza"", 'Om Sweets', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Palam vihar railway station', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","Lospacious, ready to build plot in block k1 new palam vihar phase 1, gurgaon. It's a 200 sq.Yards super built up area property. Ownership of this property provides you entitlement to construct upto 4 floors. To build the residence, possession is expected immediately. The property belongs to owner through freehold ownership. This residential plot is all yours for 1.2 crore.",,,U69962464
Residential land / Plot in C Block Sushant Lok Phase 1,https://www.99acres.com/residential-land-plot-for-sale-in-c-block-sushant-lok-phase-1-gurgaon-299-sq-yard-spid-J69961494,,9 Crore,(250 sq.m.) Plot Area,"C Block Sushant Lok Phase 1, Gurgaon, Haryana",,1,Immediate,"['Sector 42-43 metro station', 'Huda city centre metro station', 'Hanuman Mandir', 'New Life Church', 'Hdfc ATM', 'Rbs ATM', 'Hdfc bank ATM', 'Standard chartered ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Paras Hospital Gurgaon', 'Gupta', 'Arihant Hospital', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Sitaram Bhartia', 'Guardian Pharmacy', 'Chikitsa', 'Bharat petroleum', 'Icici bank', 'Hdfc bank', 'Axis bank', 'PWO house', 'Balaji Vegetarian Paradise', 'The Chicken Boat', 'Sagar Ratna', 'Cafe Tonini', 'Shophouse by Kylin', ""Carl's Jr."", 'Starbucks', 'Naveidyam', 'Starbucks', 'Blue Tokai Coffee Roasters', 'CCD', 'Drunken Monkey', 'Belgian Waffle', 'Nowhere Brewpub and cafe', 'Fat', 'Dighent cafe', 'Clock tower', 'Stones2milestones', 'School of Inspired Leadership SOIL', 'Ncr library', 'Bahrisons library']",Residential land available for sell.Located in c block sushant lok phase 1.Available at an price of rs 90000000.Close to main market,,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",J69961494
Residential land / Plot in Pataudi,https://www.99acres.com/residential-land-plot-for-sale-in-pataudi-gurgaon-110-sq-yard-spid-Y69961270,,65 Lac,(92 sq.m.) Plot Area,"Pataudi, Gurgaon, Haryana",,3,Immediate,"['Sohil Clinic', 'Joshi Hospital', 'Smile Plus Dental Hospital', 'Vaidh Vipin Chandrapal', 'Rajeev Hospital', 'Tilak Hospital', 'New Life Care Clinic', 'Dr. D.Munjal Manoj', 'Dr. Chauhan Neeraj', 'Ayush Skin Care Clinic', 'Varma Dental and Eye Hospital', 'Chauhan Hospital', 'Kamlesh Devi Clinic', 'Dr. Kishore Rao Bhawan', 'Shree Kailash Hospital', 'Anirud Hospital', 'Geetanjali Hospital', 'Chawla Skin Clinic', 'Swami Amardev Hospital', 'Dahiya Naturopathy Centre']",Residential land available for sell.Located in pataudi.Available at an price of rs 6500000.,,"['Environment4 out of 5', 'Safety5 out of 5', 'Lifestyle5 out of 5', 'Connectivity4 out of 5']",Y69961270
Residential land / Plot in Devilal Colony,https://www.99acres.com/residential-land-plot-for-sale-in-devilal-colony-gurgaon-248-sq-yard-spid-F69956326,,1.4 Crore,(207 sq.m.) Plot Area,"Devilal Colony, Gurgaon, Haryana",1 Floors,1,Within 6 months,"['Chintapurni Mandir', 'State bank ATM', 'Esic Hospital Gurugram', 'Taneja Hospital', 'Pearl Dental Clinic', 'Dr. Ashok Jain', 'Ankur Clinic and Maternity Home', 'Dr. Madan Clinic', 'Shree Krishna Hospital Gurgaon', 'Shiv Mahima Patient Care Bureau', 'Navjeevan Hospital and Maternity Centre', 'Dev Man Kathuria Clinic', 'Kr Dental Hub', 'Shri Gobind Hospital', 'Satyam Hospital Gurgaon', 'Lal Superspeciality Hospital', 'Chiranjiv Hospital', 'Mangalam Hospital and Heart Centre Gurgaon', 'Swastik Maternity and Medical Centre', 'Geeta Nursing Home Gurgaon', 'Shri Multispeciality Hospital', 'Prateek Nursing Home And Polyclinic', 'Aryan Hospital', 'Ravi Clinic and Health Care Centre', 'Bindal Clinic', 'My Care Clinic', 'Tirath Ram Hospitals Pvt Ltd', 'M.S Hospital', 'D.R. Rajnis Gupta Clinic', 'Triveni Hospital Gurgaon', 'Sethi Hospital Gurgaon', 'Gurgaon Eye Centre', 'Shubham Hospital Gurgaon', 'Pasricha Hospital and Maternity Home', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Kathuria Hospital', 'Parashar Hospital', 'Bhanu Dental Care', 'Nangia Hospital Ent and Maternity', 'Sparsh Hospital Gurgaon', 'Sarvodya Hospital', 'Vinayak Hospital Gurgaon', 'Rama Hospital & Nursing Home', 'Rachna Dental Clinic', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School']","This property available at devilal colony gurgaon near by sector 4/7/9. 20 feet road. With severage ,water and electricity. Very good location and 100 mts away from main road.",,"['Environment5 out of 5', 'Safety4 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5']",F69956326
Residential land / Plot in Sohna,https://www.99acres.com/residential-land-plot-for-sale-in-raheja-akshara-sohna-gurgaon-101-sq-yard-spid-D69956234,Raheja Akshara,60 Lac,(85 sq.m.) Plot Area,"Phase 1plot No.A29, Sohna, Gurgaon, Haryana",,1,,"['Airia Mall', 'NH 248 A', 'Golf Course Rd', 'Acme School', 'K.R. Mangalam University', 'Vardaan Hospital', 'IMT Office Sohna', 'The Westin Sohna Resort']","Opposite commercial properties
Rera approved
Conveyance deed
Possession letter
Free from any encumbrance","['Feng Shui / Vaastu Compliant', 'Rain Water Harvesting']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",D69956234
Residential land / Plot in Sector 22B Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-22b-gurgaon-61-sq-yard-spid-E69954682,,90 Lac,(51 sq.m.) Plot Area,"Sector 22B Gurgaon, Gurgaon, Haryana",,2,Immediate,"['HUDA Sector 23 Market', 'Palam triangle', 'Jain Bhawan', 'Citibank ATM', ""DR KAPOOR'S Dental Care and Implant Centre"", 'DGD', 'Thukral Hospital', 'Neelkanth Medico', 'SP Infocity', 'DLF Cyber City Phase II', 'HUDA sector 23 parking', 'Oriental bank of commerce', 'Punjab national bank', 'Icici bank', 'Axis bank', 'Deutsche bank', 'Icici bank', 'Standard chartered bank', 'Big Cinemas', 'PVR Cinames', 'Om Sweets', 'Cantine', 'Mukesh Dhaba', 'Pind Baluchi', ""McDonald's"", 'Moti Mahal', ""Domino's Pizza"", 'Pizza Hut', 'Cafe Coffee Day', 'barrique', ""McDonald's"", 'Mc Donalds', 'The God Father', 'THE NORTHCAP UNIVERSITY', 'Swiss Cottage school', 'Masti ki Pathshala Teach India', 'American Montessori']",61 sq yard huda plot in sector 22b market is nearby very good location,,"['Environment4 out of 5', 'Safety4.5 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",E69954682
